DATA SLA AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Merk,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
8,AWS GAW Vihara Klademark ,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,73%,88%,100%,100%,99%,100%,100%,100%,99%,100%,100%,98.6%
9,AWS Manokwari Selatan Rekayasa,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,65%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98.4%
10,AWS Staklim Papua Barat,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,71%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98.5%
11,AWS Stasiun Klimatologi papua Barat IKRO,50%,40%,49%,48%,50%,47%,46%,98%,89%,100%,100%,100%,100%,100%,100%,100%,100%,100%,67%,95%,99%,95%,100%,100%,100%,100%,100%,100%,100%,100%,77%,85.5%
12,AWS Raisei,99%,100%,100%,100%,100%,100%,84%,72%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98.5%
13,AWS Asiki,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,99%,98%,94%,55%,87%,100%,100%,100%,100%,100%,99%,100%,100%,100%,97.6%
14,AAWS Staklim Tanah Miring,100%,100%,100%,100%,100%,100%,100%,100%,63%,100%,100%,100%,100%,100%,100%,12%,0%,0%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88.8%
15,AWS Staklim Tanah Miring IKRO,93%,100%,97%,94%,99%,92%,100%,96%,76%,96%,94%,98%,94%,96%,100%,84%,26%,1%,35%,78%,94%,89%,86%,100%,100%,100%,100%,98%,100%,100%,97%,87.5%
16,AWS Digi Dok II.,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
17,AWS Pelabuhan Jayapura,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
18,AWS Stamet Enarotali,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
19,AWS Stamet DIgi Enarotali,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
20,AWS Stamet Manokwari Degreane,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96.0%
21,AWS Stamet Manokwari Rekayasa,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
22,AWS Digi Stamet Sorong,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97.0%
23,AWS Mesonet Sorong,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
24,AWS Pelabuhan Sorong,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
