DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN MEI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Balai Besar MKG Wilayah V (JBPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,96.7%
2,Stageof Angkasa (JGPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,96.8%
3,Stamet Sentani ( JMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,96.7%
4,Stamet Biak ( BMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,96.7%
5,Stamet Timika ( TMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,96.7%
