DATA SLA ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Merk,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
3,ARG Benyom Jaya,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,97%,99%,100%,100%,100%,100%,100%,100%,100%,100%,99.8%
4,ARG Biak Barat,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
5,ARG Bonggo,75%,59%,54%,43%,54%,59%,43%,39%,40%,40%,44%,72%,41%,56%,51%,57%,28%,10%,26%,30%,18%,36%,48%,34%,25%,32%,18%,31%,25%,16%,28%,39.7%
6,ARG Dok II,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.9%
7,ARG Kaoreh,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,99%,84%,66%,100%,100%,100%,100%,100%,100%,97%,100%,99%,99%,68%,86%,99%,100%,96.6%
8,ARG Karya Bumi,100%,99%,100%,100%,100%,100%,99%,100%,99%,100%,100%,100%,100%,99%,100%,99%,100%,100%,100%,100%,99%,100%,99%,100%,99%,100%,100%,100%,99%,100%,100%,99.7%
9,ARG KORAMIL Senggi,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,23%,99%,100%,9%,22%,0%,0%,0%,0%,0%,9.8%
10,ARG Sarmi selatan,99%,100%,100%,100%,100%,100%,100%,99%,100%,100%,99%,100%,100%,99%,100%,100%,99%,100%,100%,100%,98%,100%,99%,100%,100%,100%,100%,100%,100%,99%,100%,100.0%
11,ARG Serui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
12,ARG Betaf,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,75%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98.4%
13,ARG Heram,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,99%,100%,100%,59%,88%,100%,100%,100%,99%,66%,88%,99%,100%,100%,100%,99%,100%,99%,100%,100%,96.6%
14,ARG Waris,99%,100%,100%,99%,100%,100%,94%,99%,100%,100%,99%,99%,100%,97%,100%,96%,97%,100%,99%,93%,95%,95%,97%,96%,100%,92%,89%,95%,96%,100%,100%,97.6%
15,ARG Agats,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
16,ARG Atsj,95%,95%,97%,95%,96%,97%,98%,95%,97%,95%,97%,98%,95%,94%,95%,97%,96%,97%,98%,98%,95%,97%,98%,97%,97%,96%,95%,98%,96%,97%,95%,96.3%
17,ARG BP3K Kurik,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
18,ARG BP3K Wasur,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
19,ARG Kuala Kencana,70%,89%,77%,84%,74%,85%,95%,100%,100%,88%,88%,77%,85%,88%,85%,85%,81%,78%,75%,88%,85%,85%,89%,84%,88%,91%,92%,91%,88%,82%,89%,85.7%
20,ARG Ngguti Bob,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,72%,0%,95.9%
21,ARG SMPK Semangga,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%
22,ARG Tanah Merah,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.9%
