ID_ALAT,ID_STASIUN,JENIS_PERALATAN,NAMA_PERALATAN,MERK,LATITUDE,LONGITUDE
ALT0113,GEO001,Seismometer,"LJPI (Lereh, Jayapura)",-,-3.127,139.945
ALT0114,GEO001,Seismometer,"BTSPI (BonggoTimur, Sarmi)",-,-4.852,139.499
ALT0115,GEO001,Seismometer,"SATPI (SarmiTimur, Sarmi)",-,-1.972,138.870
ALT0116,GEO001,Seismometer,SMPI (Station Sarmi),-,-1.990,138.710
ALT0117,GEO001,Seismometer,WAMI (Station Wamena),-,-4.096,138.950
ALT0118,GEO001,Seismometer,"DYPI (Dekai, Yakuhimo)",-,-4.852,139.499
ALT0119,GEO001,Seismometer,"MTMPI (MamberamoTengah, MamberamoRaya)",-,-2.305,138.037
ALT0120,GEO001,Seismometer,"MIBPI (Mindiptana, BovenDigoel)",-,-5.879,140.709
ALT0121,GEO001,Seismometer,"TRPI (Bovendigol, Tanah Merah)",-,-6.099,140.300
ALT0122,GEO001,Seismometer,"OBMPI (Obaa, Mappi)",-,-6.555,139.300
ALT0123,GEO001,Seismometer,"YBYPI (YapenBarat, KepulauanYapen)",-,-1.831,136.063
ALT0124,GEO001,Seismometer,"EDMPI (Edera, Mappi)",-,-7.175,139.585
ALT0125,GEO001,Seismometer,"ELMPI (Eligobel, Merauke)",-,-7.489,140.789
ALT0126,GEO001,Seismometer,"UWNPI (Uwapa, Nabire)",-,-3.480,135.587
ALT0127,GEO001,Seismometer,"SUSPI (SupioriTimur, Supiori)",-,-0.733,135.723
ALT0128,GEO001,Seismometer,"WANPI (Wanggar, Nabire)",-,-3.421,135.376
ALT0129,GEO001,Seismometer,"FKMPM (Kurik, Merauke)",-,-8.252,140.267
ALT0130,GEO001,Seismometer,"KIMPI (Kimaam, Merauke)",-,-7.979,138.852
ALT0131,GEO001,Seismometer,"SOMPI (Sota, Merauke)",-,-8.431,141.007
ALT0132,GEO001,Seismometer,MMPI (Station Merauke),-,-8.518,140.414
ALT0133,GEO001,Accelerograph,Balai Besar MKG Wilayah V (JBPI),-,-2.570,140.680
ALT0134,GEO001,Accelerograph,Stageof Angkasa (JGPI),-,-2.515,140.704
ALT0135,GEO001,Accelerograph,Stamet Sentani ( JMPI),-,-2.576,140.519
ALT0136,GEO001,Accelerograph,Stamet Biak ( BMPI),-,-1.191,136.104
ALT0137,GEO001,Accelerograph,Stamet Timika ( TMPI),-,-4.530,136.890
ALT0138,GEO001,Lightning Detector,Balai Besar MKG Wilayah V,-,-2.567,140.683
ALT0139,GEO001,Lightning Detector,Stageof Angkasa,-,-2.514,140.704
ALT0140,GEO001,Lightning Detector,Stamet Biak,-,-1.189,136.106
ALT0141,GEO001,Lightning Detector,Stamet Merauke,-,-8.518,140.414
ALT0142,GEO001,WRS NG,Balai Besar MKG Wilayah V,-,-2.580,140.690
ALT0143,GEO001,WRS NG,SAR Jayapura,-,-2.570,140.530
ALT0144,GEO001,WRS NG,BPBD Kota Jayapura,-,-2.590,140.690
ALT0145,GEO001,WRS NG,BPBD Kab. Jayapura,-,-2.550,140.480
ALT0146,GEO001,WRS NG,BPBD Kab. Keerom ( Relokasi Ke lantamal X),-,-2.560,140.700
ALT0147,GEO001,WRS NG,BPBD Kab. Biak,-,-1.160,136.080
ALT0148,GEO001,Sirene,Kantor MRP Papua,-,-2.537,140.706
ALT0149,GEO002,Seismometer,SJPM (Sentani),-,-2.570,140.503
ALT0150,GEO002,Seismometer,"MIPI (Mimika Baru, Mimika)",-,-4.529,136.893
ALT0151,GEO002,Seismometer,WWPI (Waropen),-,-2.245,136.376
ALT0152,GEO002,Seismometer,SRPI (Station Serui),-,-1.876,136.240
ALT0153,GEO002,Seismometer,"ERPI (Enarotali, East Paniai)",-,-3.927,136.381
ALT0154,GEO002,Seismometer,BAKI (Station Biak),-,-1.192,136.107
